# 1000 randomly selected quasars taken from the Shen SDSS DR7 Quasar Catalogue
# http://quasar.astro.illinois.edu/BH_mass/dr7.htm
# Columns are
# Right Ascension, Declination, redshift, log BH mass, log bolometric luminosity
1.233050000000000068e+02,5.427969999999999828e+01,7.792000000000000037e-01,9.245939999999999159e+00,4.649399999999999977e+01
1.312520000000000095e+02,3.969330000000000069e+01,6.877999999999999670e-01,8.145730000000000359e+00,4.549110000000000298e+01
1.381399999999999864e+02,1.518720000000000070e+01,6.350999999999999979e-01,8.623499999999999943e+00,4.545430000000000348e+01
2.434770000000000039e+02,4.487930000000000064e+01,2.680899999999999839e+00,9.068120000000000402e+00,4.700639999999999930e+01
1.628940000000000055e+02,6.294760000000000133e+01,3.001799999999999802e+00,9.157320000000000348e+00,4.704220000000000113e+01
2.168789999999999907e+02,-9.059970000000000523e-01,2.286999999999999922e+00,1.000500000000000078e+01,4.724620000000000175e+01
2.045600000000000023e+02,3.979489999999999839e+01,1.573800000000000088e+00,9.220760000000000289e+00,4.647599999999999909e+01
3.939010000000000122e+00,1.396179999999999921e-01,3.709999999999999964e-01,9.425309999999999633e+00,4.535540000000000305e+01
2.272349999999999870e+00,-1.907459999999999989e-01,1.179899999999999949e+00,8.553369999999999251e+00,4.576890000000000214e+01
2.611190000000000282e+02,5.457180000000000319e+01,2.250700000000000145e+00,9.106310000000000571e+00,4.655519999999999925e+01
2.602880000000000038e+01,-8.117110000000000269e+00,2.506699999999999928e+00,9.443339999999999179e+00,4.699510000000000076e+01
1.704449999999999932e+02,2.648499999999999943e+01,1.577800000000000091e+00,9.165259999999999962e+00,4.652770000000000294e+01
3.409580000000000268e+02,-6.083340000000000414e-01,3.084999999999999964e+00,9.152449999999999974e+00,4.679449999999999932e+01
1.553230000000000075e+02,4.035739999999999839e+01,3.697200000000000042e+00,9.832150000000000389e+00,4.660029999999999717e+01
2.549910000000000139e+02,2.268120000000000047e+01,1.302400000000000002e+00,8.865600000000000591e+00,4.595309999999999917e+01
3.412200000000000273e+02,2.339639999999999986e+01,2.667800000000000171e+00,9.123490000000000322e+00,4.658579999999999899e+01
1.834259999999999877e+02,6.510540000000000305e+01,1.799800000000000066e+00,9.407469999999999999e+00,4.650359999999999872e+01
1.314970000000000141e+02,3.153300000000000125e+01,1.736299999999999955e+00,8.525650000000000617e+00,4.533290000000000219e+01
2.516959999999999908e+01,2.994990000000000152e-01,4.043999999999999817e-01,8.181020000000000181e+00,4.538419999999999987e+01
3.543690000000000282e+02,-1.012909999999999933e+01,2.068799999999999972e+00,8.944200000000000372e+00,4.680680000000000263e+01
2.016119999999999948e+02,-2.578599999999999781e+00,3.221699999999999786e+00,8.687549999999999883e+00,4.666140000000000043e+01
2.428199999999999932e+02,4.236610000000000298e+01,2.091299999999999937e+00,8.965600000000000236e+00,4.669780000000000086e+01
2.378559999999999945e+02,3.150359999999999872e+01,1.591299999999999937e+00,9.179019999999999513e+00,4.654590000000000316e+01
1.453859999999999957e+02,2.075720000000000010e+00,1.371299999999999963e+00,9.031959999999999766e+00,4.609250000000000114e+01
3.407189999999999941e+01,-9.525410000000000821e+00,1.562599999999999989e+00,9.245380000000000820e+00,4.594959999999999667e+01
2.148540000000000134e+02,-1.394069999999999920e+00,1.539500000000000091e+00,9.701990000000000336e+00,4.662680000000000291e+01
2.292319999999999993e+02,5.701069999999999993e+01,1.510000000000000009e+00,9.266669999999999519e+00,4.650970000000000226e+01
1.721970000000000027e+02,2.249080000000000013e+01,1.509100000000000108e+00,9.591350000000000264e+00,4.628759999999999764e+01
1.543180000000000121e+02,2.876999999999999957e+01,1.441500000000000004e+00,9.038759999999999906e+00,4.608469999999999800e+01
3.252069999999999936e+02,-7.718950000000000422e+00,1.232399999999999940e+00,8.999180000000000845e+00,4.618659999999999854e+01
1.475939999999999941e+02,8.582469999999999821e-01,1.830999999999999961e+00,8.571680000000000632e+00,4.551209999999999667e+01
1.897129999999999939e+02,1.978879999999999972e+00,1.057299999999999907e+00,8.651770000000000849e+00,4.603730000000000189e+01
1.958029999999999973e+02,3.489800000000000324e+01,1.625599999999999934e+00,8.744899999999999451e+00,4.653699999999999903e+01
1.393170000000000073e+02,3.117180000000000106e+01,1.464699999999999891e+00,8.919299999999999784e+00,4.643229999999999791e+01
2.481239999999999952e+02,1.475510000000000055e+01,9.664000000000000368e-01,9.205999999999999517e+00,4.651809999999999690e+01
2.171109999999999900e+02,1.352599999999999980e+01,7.993000000000000105e-01,8.961280000000000356e+00,4.595649999999999835e+01
2.347249999999999943e+02,3.104960000000000164e+01,2.893999999999999906e-01,9.184839999999999449e+00,4.519360000000000355e+01
2.067669999999999959e+02,6.206089999999999662e+01,1.436800000000000077e+00,9.146319999999999339e+00,4.625919999999999987e+01
