#Spectrum of SDSS J141324.27+530526.9
#downloaded from http://skyserver.sdss.org/dr16/en/tools/quicklook/summary.aspx?ra=14%2013%2024&dec=53%2005%2027
#z = 0.4563313
#Wavelength,Flux,BestFit,SkyFlux
3600.809,38.559,30.211,25.979
3601.637,38.610,30.207,23.653
3602.468,34.114,30.104,22.529
3603.296,29.561,29.970,21.418
3604.125,31.929,29.907,20.378
3604.956,30.155,30.011,19.463
3605.786,36.960,29.877,18.651
3606.617,39.525,30.110,17.700
3607.447,32.218,30.090,16.882
3608.279,38.378,29.980,16.534
3609.109,31.880,30.121,16.524
3609.939,31.548,29.960,16.380
3610.772,36.959,29.800,16.555
3611.602,43.954,29.649,17.015
3612.435,45.069,29.661,17.580
3613.266,32.956,29.795,18.376
3614.099,29.291,29.839,19.509
3614.931,32.786,29.733,20.762
3615.762,35.240,29.920,22.904
3616.596,37.042,29.680,24.796
3617.428,39.906,29.626,24.139
3618.262,39.297,29.765,21.146
3619.095,36.733,29.767,17.744
3619.929,36.969,29.891,16.817
3620.762,37.411,30.014,18.060
3621.597,34.389,29.610,19.816
3622.430,30.640,29.734,21.387
3623.263,33.076,30.107,22.067
3624.099,31.747,29.957,21.816
3624.933,33.850,29.802,21.991
3625.769,36.317,29.923,22.381
3626.603,35.945,29.749,23.148
3627.439,33.308,29.841,24.314
3628.273,32.081,30.010,24.560
3629.108,35.735,29.798,24.092
3629.945,33.754,29.628,23.904
3630.780,33.954,29.769,22.627
3631.617,33.975,29.731,19.884
3632.453,33.288,29.742,18.858
3633.290,41.116,29.811,19.897
3634.126,33.790,29.718,21.008
3634.962,31.302,29.516,20.715
3635.800,35.280,29.559,21.050
3636.637,34.408,29.531,22.318
3637.475,28.630,29.604,22.588
3638.312,34.900,29.717,22.376
3639.151,39.292,29.712,22.666
3639.988,30.368,29.729,23.998
3640.826,32.559,29.787,24.260
3641.665,37.415,29.606,24.286
3642.503,33.382,29.400,24.150
3643.343,39.912,29.427,23.255
3644.181,38.183,29.607,21.690
3645.022,40.410,29.556,20.412
3645.860,30.963,29.452,20.245
3646.699,28.335,29.501,20.652
3647.540,43.103,29.557,19.486
3648.379,39.535,29.612,18.234
3649.220,37.615,29.621,19.423
3650.060,35.302,29.388,22.889
3650.901,38.016,29.463,25.789
3651.741,41.264,29.426,25.355
3652.581,38.395,29.390,23.854
3653.424,35.058,29.494,23.593
3654.264,38.645,29.646,24.433
3655.107,29.991,29.630,24.841
3655.948,35.887,29.508,24.359
3656.791,40.142,29.300,24.010
3657.632,29.487,29.289,23.521
3658.473,40.601,29.334,24.675
3659.317,37.257,29.254,25.066
3660.159,40.224,29.318,24.652
3661.003,39.733,29.362,24.154
3661.845,35.730,29.226,24.449
3662.689,37.404,29.154,24.409
3663.532,42.598,29.214,24.460
3664.375,39.274,29.254,23.999
3665.220,33.710,29.144,23.060
3666.063,34.700,29.030,22.119
3666.908,36.932,29.168,22.341
3667.752,34.447,29.217,21.725
